Requestor GPN,EmployeeStatusDesc,Country,Designation,Badge Type,Badge Status,Domain,Sub Domain,Key-Badge_SD,Badge Classification,Badge earned,Department,Initiate a badge date,Time Lapse
GPN 18030,Active,Country 1,Rank 13,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/24/2020,SL 17,6/13/2018,681
GPN 18031,Terminated,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,7/11/2018,SL 20,7/11/2018,0
GPN 18032,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,12/11/2018,SL 2,11/22/2018,19
GPN 18033,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/6/2020,SL 20,3/12/2020,25
GPN 18034,Active,Country 1,Rank 14,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,10/1/2018,SL 26,5/7/2018,147
GPN 18035,Active,Country 1,Rank 14,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,6/22/2018,SL 26,5/14/2018,39
GPN 18036,Active,Country 1,Rank 14,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,2/14/2020,SL 26,11/18/2019,88
GPN 18037,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/6/2020,SL 26,3/2/2020,65
GPN 18038,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/25/2020,SL 19,2/13/2020,12
GPN 18039,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,6/17/2020,SL 20,1/9/2020,160
GPN 1804,Active,Country 1,Rank 12,Gold,Approved,Innovation,Agile,AgileGold,BUSINESS,6/24/2020,SL 6,5/1/2020,54
GPN 18040,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,11/4/2019,SL 25,3/7/2019,242
GPN 18041,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/28/2020,SL 25,3/7/2019,418
GPN 18042,Active,Country 5,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/24/2019,SL 15,8/17/2018,250
GPN 18043,Active,Country 5,Rank 15,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,3/7/2020,SL 15,5/23/2019,289
GPN 18044,Active,Country 5,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,2/28/2020,SL 15,2/26/2019,367
GPN 18045,Active,Country 5,Rank 8,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,4/6/2020,SL 15,3/24/2020,13
GPN 18046,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/27/2020,SL 20,7/24/2019,278
GPN 18047,Active,Country 5,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,8/1/2019,SL 6,2/25/2019,157
GPN 18048,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/23/2020,SL 26,4/23/2020,0
GPN 18049,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,6/3/2019,SL 20,5/2/2019,32
GPN 1805,Active,Country 4,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,8/1/2019,SL 20,7/3/2019,29
GPN 18050,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data platform,Data platformBronze,TECHNOLOGY,3/31/2020,SL 20,2/12/2020,48
GPN 18051,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,4/27/2020,SL 20,2/3/2020,84
GPN 18052,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,4/24/2020,SL 20,1/13/2020,102
GPN 18053,Active,Country 5,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,1/31/2020,SL 20,1/17/2020,14
GPN 18054,Terminated,Country 4,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,6/25/2019,SL 20,1/23/2019,153
GPN 18055,Active,Country 5,Rank 14,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,4/3/2020,SL 15,2/4/2020,59
GPN 18056,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/8/2020,SL 20,5/5/2020,3
GPN 18057,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,2/13/2020,SL 26,1/8/2020,36
GPN 18058,Terminated,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,2/15/2018,SL 3,2/9/2018,6
GPN 18059,Active,Country 4,Rank 13,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,2/17/2020,SL 23,1/3/2020,45
GPN 1806,Active,Country 5,Rank 6,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/20/2019,SL 20,5/9/2019,11
GPN 18060,Active,Country 5,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/25/2020,SL 20,2/17/2020,37
GPN 18061,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/15/2018,SL 20,5/15/2018,0
GPN 18062,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/15/2018,SL 20,2/20/2018,84
GPN 18063,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/2/2020,SL 26,8/19/2019,288
GPN 18064,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,2/19/2020,SL 20,11/25/2019,86
GPN 18065,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,3/5/2019,SL 8,2/19/2019,14
GPN 18066,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/25/2018,SL 8,2/26/2018,88
GPN 18067,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/7/2020,SL 20,4/17/2020,20
GPN 18068,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/19/2020,SL 20,4/16/2020,3
GPN 18069,Active,Country 3,Rank 9,Bronze,Approved,Sector,TMT - Technology,TMT - TechnologyBronze,BUSINESS,5/15/2020,SL 25,5/9/2020,6
GPN 1807,Active,Country 5,Rank 6,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/21/2020,SL 20,4/6/2020,15
GPN 18070,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,2/10/2020,SL 20,2/5/2020,5
GPN 18071,Active,Country 3,Rank 9,Silver,Approved,Analytics,Data science,Data scienceSilver,TECHNOLOGY,7/8/2020,SL 20,4/30/2020,69
GPN 18072,Active,Country 3,Rank 12,Bronze,Approved,Sector,TMT ? Media & Entertainment,TMT ? Media & EntertainmentBronze,BUSINESS,5/22/2018,SL 8,5/14/2018,8
GPN 18073,Active,Country 3,Rank 12,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,11/8/2018,SL 8,10/22/2018,17
GPN 18074,Active,Country 3,Rank 12,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,11/22/2018,SL 8,11/19/2018,3
GPN 18075,Active,Country 3,Rank 12,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,5/4/2018,SL 8,11/29/2017,156
GPN 18076,Active,Country 4,Rank 9,Bronze,Approved,Transformative leadership,Inspiring,InspiringBronze,LEADERSHIP,6/9/2020,SL 26,5/21/2020,19
GPN 18077,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/16/2020,SL 20,11/15/2019,62
GPN 18078,Terminated,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/25/2020,SL 20,2/14/2019,345
GPN 18079,Active,Country 3,Rank 8,Silver,Approved,Analytics,Data integration,Data integrationSilver,TECHNOLOGY,7/8/2020,SL 26,3/25/2019,471
GPN 1808,Active,Country 5,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,6/8/2020,SL 20,12/4/2019,187
GPN 18080,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,3/11/2020,SL 20,10/24/2019,139
GPN 18081,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,10/1/2019,SL 20,9/29/2019,2
GPN 18082,Active,Country 3,Rank 9,Silver,Approved,Emerging Technology,Robotic process automation,Robotic process automationSilver,TECHNOLOGY,3/16/2020,SL 20,10/2/2019,166
GPN 18083,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/17/2020,SL 2,9/23/2019,207
GPN 18084,Terminated,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/25/2019,SL 20,5/7/2019,49
GPN 18085,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,3/27/2020,SL 20,2/3/2020,53
GPN 18086,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/12/2020,SL 20,4/29/2020,44
GPN 18087,Active,Country 3,Rank 8,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,6/25/2020,SL 26,6/17/2020,8
GPN 18088,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,10/15/2019,SL 20,8/26/2019,50
GPN 18089,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,2/6/2020,SL 20,11/27/2019,71
GPN 1809,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/29/2019,SL 26,12/10/2018,170
GPN 18090,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,6/10/2020,SL 20,4/22/2020,49
GPN 18091,Active,Country 3,Rank 8,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,4/27/2020,SL 26,4/6/2020,21
GPN 18092,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,11/22/2019,SL 20,10/3/2019,50
GPN 18093,Active,Country 3,Rank 14,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/5/2019,SL 9,3/20/2018,381
GPN 18094,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,4/20/2020,SL 20,8/14/2019,250
GPN 18095,Terminated,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,4/2/2019,SL 20,4/2/2019,0
GPN 18096,Terminated,Country 3,Rank 8,Silver,Approved,Digital,Digital,DigitalSilver,BUSINESS,6/19/2019,SL 20,5/2/2019,48
GPN 18097,Terminated,Country 3,Rank 8,Silver,Approved,Innovation,Design thinking,Design thinkingSilver,BUSINESS,4/6/2020,SL 20,10/1/2019,188
GPN 18098,Active,Country 3,Rank 8,Gold,Approved,Emerging Technology,Robotic process automation,Robotic process automationGold,TECHNOLOGY,3/12/2019,SL 20,2/8/2019,32
GPN 18099,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,5/14/2020,SL 20,4/27/2020,17
GPN 181,Active,Country 3,Rank 8,Bronze,Approved,Sector,WAM - Asset management,WAM - Asset managementBronze,BUSINESS,2/24/2020,SL 20,1/22/2020,33
GPN 1810,Active,Country 3,Rank 9,Bronze,Approved,Sector,Oil & Gas,Oil & GasBronze,BUSINESS,5/29/2019,SL 26,3/13/2019,77
GPN 18100,Active,Country 3,Rank 8,Silver,Approved,Emerging Technology,Robotic process automation,Robotic process automationSilver,TECHNOLOGY,6/26/2018,SL 20,4/13/2018,74
GPN 18101,Active,Country 5,Rank 14,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,1/27/2020,SL 6,1/9/2020,18
GPN 18102,Active,Country 5,Rank 15,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,10/11/2018,SL 15,7/10/2018,93
GPN 18103,Active,Country 5,Rank 15,Gold,Approved,Innovation,Design thinking,Design thinkingGold,BUSINESS,1/8/2020,SL 15,11/25/2019,44
GPN 18104,Active,Country 2,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,6/4/2020,SL 2,6/2/2020,2
GPN 18105,Active,Country 2,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,6/15/2020,SL 2,6/11/2020,4
GPN 18106,Active,Country 2,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,6/28/2020,SL 2,6/16/2020,12
GPN 18107,Active,Country 2,Rank 9,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,6/30/2020,SL 2,6/18/2020,12
GPN 18108,Active,Country 2,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/30/2020,SL 2,6/23/2020,7
GPN 18109,Active,Country 2,Rank 9,Bronze,Approved,Microsoft,Dynamics 365,Dynamics 365Bronze,TECHNOLOGY,6/30/2020,SL 2,6/29/2020,1
GPN 1811,Active,Country 4,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/17/2020,SL 20,10/25/2019,175
GPN 18110,Active,Country 5,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/29/2020,SL 20,5/29/2020,0
GPN 18111,Active,Country 5,Rank 13,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/22/2020,SL 8,12/10/2019,164
GPN 18112,Active,Country 5,Rank 13,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,4/7/2020,SL 8,1/14/2020,84
GPN 18113,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/13/2020,SL 20,2/18/2020,85
GPN 18114,Active,Country 4,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/1/2020,SL 20,4/6/2020,25
GPN 18115,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/28/2020,SL 2,5/19/2020,9
GPN 18116,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/22/2020,SL 2,5/18/2020,4
GPN 18117,Active,Country 3,Rank 13,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/29/2018,SL 8,5/22/2018,7
GPN 18118,Active,Country 4,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/11/2020,SL 20,4/14/2020,27
GPN 18119,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/20/2020,SL 20,7/18/2018,642
GPN 1812,Terminated,Country 4,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/19/2018,SL 3,4/4/2018,15
GPN 18120,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/22/2020,SL 20,4/20/2020,2
GPN 18121,Terminated,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/14/2018,SL 20,3/13/2018,62
GPN 18122,Terminated,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,3/15/2018,SL 20,3/15/2018,0
GPN 18123,Active,Country 1,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/29/2020,SL 26,1/2/2020,179
GPN 18124,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,2/3/2020,SL 20,11/26/2019,69
GPN 18125,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/25/2019,SL 26,2/25/2019,0
GPN 18126,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/2/2020,SL 20,4/27/2020,5
GPN 18127,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,12/9/2019,SL 20,11/28/2019,11
GPN 18128,Active,Country 3,Rank 6,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/2/2020,SL 20,2/22/2019,405
GPN 18129,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,4/16/2019,SL 20,3/19/2019,28
GPN 1813,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/4/2020,SL 20,1/29/2020,96
GPN 18130,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,6/13/2019,SL 25,5/22/2019,22
GPN 18131,Active,Country 3,Rank 13,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/8/2020,SL 8,5/14/2018,756
GPN 18132,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,3/25/2020,SL 20,12/31/2019,85
GPN 18133,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,10/20/2018,SL 2,9/10/2018,40
GPN 18134,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/27/2020,SL 20,1/23/2020,4
GPN 18135,Active,Country 3,Rank 8,Bronze,Approved,Sector,Oil & Gas,Oil & GasBronze,BUSINESS,5/7/2020,SL 20,4/7/2020,30
GPN 18136,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,1/3/2020,SL 20,12/4/2019,30
GPN 18137,Active,Country 3,Rank 7,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,6/3/2019,SL 20,6/3/2019,0
GPN 18138,Active,Country 3,Rank 7,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,3/24/2020,SL 20,1/27/2020,57
GPN 18139,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,3/25/2020,SL 20,3/12/2020,13
GPN 1814,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,5/4/2020,SL 20,3/27/2020,38
GPN 18140,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/28/2020,SL 20,1/7/2020,21
GPN 18141,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/1/2019,SL 25,4/27/2019,4
GPN 18142,Active,Country 3,Rank 8,Bronze,Approved,Sector,Oil & Gas,Oil & GasBronze,BUSINESS,4/13/2020,SL 25,4/7/2020,6
GPN 18143,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,6/19/2018,SL 20,6/19/2018,0
GPN 18144,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/18/2020,SL 20,5/15/2020,34
GPN 18145,Active,Country 3,Rank 13,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,10/31/2019,SL 20,10/24/2019,7
GPN 18146,Active,Country 3,Rank 13,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,3/17/2020,SL 20,2/25/2020,21
GPN 18147,Active,Country 3,Rank 13,Bronze,Approved,Transformative leadership,Inclusion and Belonging,Inclusion and BelongingBronze,LEADERSHIP,5/20/2020,SL 20,5/19/2020,1
GPN 18148,Active,Country 3,Rank 15,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/30/2020,SL 24,6/17/2020,13
GPN 18149,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,10/18/2018,SL 20,7/4/2018,106
GPN 1815,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/5/2019,SL 26,8/28/2018,220
GPN 18150,Active,Country 3,Rank 8,Platinum,Approved,Emerging Technology,Artificial intelligence,Artificial intelligencePlatinum,TECHNOLOGY,3/25/2020,SL 20,2/21/2019,398
GPN 18151,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,2/28/2020,SL 26,1/2/2020,57
GPN 18152,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,3/22/2019,SL 26,12/12/2018,100
GPN 18153,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,2/24/2020,SL 26,11/20/2019,96
GPN 18154,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,2/2/2018,SL 20,2/1/2018,1
GPN 18155,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,1/13/2020,SL 20,1/13/2020,0
GPN 18156,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,3/13/2018,SL 20,2/20/2018,21
GPN 18157,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,7/6/2020,SL 26,1/24/2020,164
GPN 18158,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/18/2020,SL 26,4/9/2019,405
GPN 18159,Active,Country 3,Rank 15,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/22/2020,SL 23,11/21/2018,518
GPN 1816,Terminated,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,4/10/2019,SL 20,8/29/2018,224
GPN 18160,Active,Country 3,Rank 13,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/5/2020,SL 21,2/18/2020,77
GPN 18161,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/24/2020,SL 20,2/25/2020,59
GPN 18162,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/11/2020,SL 26,4/27/2020,14
GPN 18163,Terminated,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,2/10/2020,SL 26,7/2/2019,223
GPN 18164,Active,Country 5,Rank 12,Bronze,Approved,Transformative leadership,Inspiring,InspiringBronze,LEADERSHIP,6/26/2020,SL 20,3/16/2020,102
GPN 18165,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/11/2020,SL 20,4/7/2020,34
GPN 18166,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/2/2020,SL 20,4/2/2020,0
GPN 18167,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Information strategy,Information strategyBronze,TECHNOLOGY,6/1/2020,SL 26,5/15/2020,17
GPN 18168,Active,Country 3,Rank 9,Bronze,Approved,Sector,Power & Utilities,Power & UtilitiesBronze,BUSINESS,4/24/2020,SL 20,3/12/2020,43
GPN 18169,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/4/2020,SL 15,5/19/2020,16
GPN 1817,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/10/2020,SL 26,8/26/2019,197
GPN 18170,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,7/1/2020,SL 20,8/19/2019,317
GPN 18171,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,4/21/2020,SL 20,4/13/2020,8
GPN 18172,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,7/6/2020,SL 26,6/3/2020,33
GPN 18173,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/16/2020,SL 26,3/8/2019,405
GPN 18174,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,3/27/2020,SL 20,11/26/2019,122
GPN 18175,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/12/2020,SL 26,4/11/2020,31
GPN 18176,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data platform,Data platformBronze,TECHNOLOGY,3/13/2020,SL 20,2/4/2020,38
GPN 18177,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/8/2020,SL 26,5/6/2020,2
GPN 18178,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,1/31/2019,SL 26,12/6/2018,56
GPN 18179,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/24/2020,SL 26,4/22/2020,2
GPN 1818,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,9/26/2019,SL 20,4/4/2019,175
GPN 18180,Active,Country 4,Rank 9,Bronze,Approved,Transformative leadership,Inspiring,InspiringBronze,LEADERSHIP,5/20/2020,SL 26,5/6/2020,14
GPN 18181,Active,Country 4,Rank 9,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,6/5/2020,SL 26,5/21/2020,15
GPN 18182,Active,Country 4,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/30/2020,SL 20,1/24/2020,127
